,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,price
0,2014-05-02 00:00:00,3.0,1.5,,7912.0,1.5,0.0,0.0,3.0,1340.0,0.0,1955.0,2005.0,18810 Densmore Ave N,Shoreline,WA 98133,USA,313000.0
1,2014-05-02 00:00:00,5.0,2.5,3650.0,9050.0,2.0,,4.0,5.0,3370.0,280.0,1921.0,0.0,709 W Blaine St,Seattle,WA 98119,USA,2384000.0
2,2014-05-02 00:00:00,3.0,2.0,1930.0,11947.0,1.0,0.0,0.0,,1930.0,0.0,1966.0,0.0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,342000.0
3,2014-05-02 00:00:00,3.0,2.25,2000.0,8030.0,1.0,0.0,,4.0,,,1963.0,0.0,857 170th Pl NE,Bellevue,WA 98008,USA,420000.0
4,2014-05-02 00:00:00,4.0,2.5,1940.0,10500.0,1.0,0.0,0.0,4.0,,800.0,1976.0,1992.0,9105 170th Ave NE,Redmond,WA 98052,USA,550000.0
5,2014-05-02 00:00:00,2.0,1.0,880.0,6380.0,1.0,0.0,0.0,3.0,880.0,0.0,1938.0,1994.0,522 NE 88th St,Seattle,WA 98115,USA,490000.0
6,2014-05-02 00:00:00,2.0,2.0,1350.0,2560.0,1.0,0.0,0.0,3.0,1350.0,0.0,1976.0,0.0,2616 174th Ave NE,Redmond,WA 98052,USA,335000.0
7,2014-05-02 00:00:00,4.0,2.5,2710.0,35868.0,2.0,0.0,,3.0,2710.0,0.0,1989.0,0.0,,Maple Valley,WA 98038,USA,
8,2014-05-02 00:00:00,3.0,2.5,2430.0,88426.0,1.0,0.0,0.0,4.0,1570.0,860.0,,0.0,46611-46625 SE 129th St,North Bend,,USA,452500.0
9,2014-05-02 00:00:00,4.0,2.0,1520.0,6200.0,1.5,,0.0,3.0,1520.0,0.0,,2010.0,6811 55th Ave NE,Seattle,WA 98115,USA,640000.0
10,2014-05-02 00:00:00,3.0,1.75,1710.0,7320.0,,0.0,0.0,3.0,1710.0,0.0,1948.0,,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,463000.0
11,2014-05-02 00:00:00,4.0,2.5,2920.0,4000.0,1.5,0.0,,5.0,1910.0,1010.0,1909.0,,3838-4098 44th Ave NE,Seattle,WA 98105,USA,1400000.0
12,2014-05-02 00:00:00,,1.75,2330.0,,1.0,0.0,0.0,3.0,1970.0,360.0,,0.0,1833 220th Pl NE,Sammamish,WA 98074,USA,588500.0
13,2014-05-02 00:00:00,3.0,1.0,1090.0,6435.0,1.0,0.0,0.0,4.0,,0.0,1955.0,2009.0,2504 SW Portland Ct,Seattle,WA 98106,USA,365000.0
14,2014-05-02 00:00:00,5.0,2.75,2910.0,9480.0,,0.0,0.0,3.0,2910.0,0.0,1939.0,1969.0,3534 46th Ave NE,Seattle,WA 98105,USA,1200000.0
15,2014-05-02 00:00:00,3.0,1.5,1200.0,9720.0,1.0,0.0,0.0,,1200.0,0.0,1965.0,0.0,14034 SE 201st St,Kent,WA 98042,USA,242500.0
16,2014-05-02 00:00:00,3.0,,1570.0,6700.0,1.0,0.0,0.0,,1570.0,0.0,1956.0,0.0,,Bellevue,WA 98007,USA,419000.0
17,2014-05-02 00:00:00,4.0,3.0,3110.0,7231.0,2.0,0.0,,3.0,3110.0,0.0,1997.0,0.0,11224 SE 306th Pl,Auburn,WA 98092,USA,367500.0
18,,3.0,1.75,1370.0,5858.0,,0.0,0.0,3.0,1370.0,0.0,1987.0,2000.0,1605 S 245th Pl,Des Moines,WA 98198,USA,
19,2014-05-02 00:00:00,3.0,1.5,1180.0,,1.0,0.0,0.0,3.0,1180.0,0.0,1983.0,2009.0,12425 415th Ave SE,North Bend,WA 98045,USA,275000.0
20,2014-05-02 00:00:00,,1.75,2240.0,10578.0,2.0,,0.0,5.0,1550.0,690.0,1923.0,,3225 NE 92nd St,Seattle,WA 98115,USA,750000.0
21,2014-05-02 00:00:00,4.0,1.0,1450.0,8800.0,1.0,0.0,0.0,4.0,1450.0,0.0,1954.0,1979.0,3922 154th Ave SE,,WA 98006,USA,435000.0
22,2014-05-02 00:00:00,,2.25,1750.0,1572.0,2.5,0.0,0.0,3.0,1470.0,280.0,2005.0,0.0,3140 Franklin Ave E,Seattle,WA 98102,USA,626000.0
23,2014-05-02 00:00:00,4.0,2.5,2730.0,12261.0,2.0,0.0,0.0,3.0,2730.0,0.0,1991.0,0.0,10212 NE 156th Pl,Bothell,WA 98011,USA,612500.0
24,2014-05-02 00:00:00,4.0,1.75,,6380.0,1.0,,0.0,3.0,1130.0,470.0,1959.0,1989.0,,Seattle,WA 98125,USA,495000.0
